date,ind,rain,indicator1,temp,wetb,dewpt,vappr,rhum,msl,indictor2,wdsp,wddir,ww,w,sun,vis,clht,clamt
01/01/2018 00:00,2,0,0,4.5,3.3,1.5,6.8,81,990.4,2,23,240,80,81,0,16000,168,7
01/01/2018 01:00,2,0,0,4.4,3.4,1.8,7,84,990.6,2,25,240,80,82,0,20000,250,5
01/01/2018 02:00,2,0,0,4.6,3.5,1.8,7,82,990.4,2,23,240,25,81,0,20000,999,3
01/01/2018 03:00,2,0,0,4.6,3.6,2.1,7.1,84,990.4,2,24,240,25,81,0,30000,999,4
01/01/2018 04:00,0,0,0,5.1,4,2.3,7.2,83,990,2,21,240,2,11,0,25000,999,4
01/01/2018 05:00,0,0,0,5,3.7,1.8,6.9,79,990.3,2,21,240,2,11,0,25000,230,6
01/01/2018 06:00,0,0,0,4.8,3.7,2,7.1,82,991,2,15,230,3,81,0,30000,180,7
01/01/2018 07:00,0,0,0,4.3,3.4,1.9,7.1,85,991.5,2,12,230,2,11,0,30000,160,7
01/01/2018 08:00,0,0,0,4,3.2,2.1,7,87,991.8,2,12,230,2,11,0,30000,170,7
01/01/2018 09:00,0,0,0,4.6,3.6,2.1,7.1,84,992.3,2,14,240,2,11,0.2,30000,999,3
01/01/2018 10:00,0,0,0,5.3,4.1,2.4,7.2,81,992.5,2,17,240,2,11,0.9,30000,200,4
01/01/2018 11:00,0,0,0,6.3,5,3.1,7.7,80,993.4,2,22,250,2,11,0.5,30000,200,4
01/01/2018 12:00,0,0,0,7.1,5.4,3,7.6,75,994.4,2,26,260,2,11,0.3,30000,24,6
01/01/2018 13:00,0,0.4,0,6.5,5.4,3.9,8.1,84,995.6,2,25,280,80,82,0,7000,18,7
01/01/2018 14:00,0,0.1,0,6.2,5,3.3,7.8,82,997.5,2,25,280,25,82,0.6,30000,30,4
01/01/2018 15:00,0,0.1,0,6.2,5.3,4,8.2,86,999.6,2,22,280,80,82,0,30000,20,5
01/01/2018 16:00,2,0,0,6.1,4.8,3,7.6,80,1001.3,2,21,280,25,82,0.2,30000,20,5
01/01/2018 17:00,0,0,0,5.4,4.2,2.4,7.3,81,1003.3,2,18,280,2,11,0,30000,999,2
01/01/2018 18:00,0,0,0,5.1,4.1,2.6,7.4,84,1004.6,2,14,280,2,81,0,30000,999,2
01/01/2018 19:00,0,0,0,5.3,4.3,2.8,7.5,84,1006.1,2,14,270,2,11,0,30000,999,3
01/01/2018 20:00,0,0,0,4.7,3.4,1.5,6.8,79,1007,2,16,270,2,11,0,30000,999,3
01/01/2018 21:00,0,0,0,4.2,3,1,6.6,80,1007.5,2,16,260,2,11,0,30000,999,3
01/01/2018 22:00,0,0,0,3.4,2.2,0.2,6.2,80,1008.3,2,16,260,2,11,0,30000,999,3
01/01/2018 23:00,0,0,0,3.4,2.3,0.4,6.3,81,1008.6,2,14,260,2,11,0,30000,999,3
02/01/2018 00:00,0,0,0,3.7,2.4,0.2,6.2,78,1008.8,2,12,240,2,11,0,30000,999,3
02/01/2018 01:00,0,0,0,4.1,2.5,-0.2,6,74,1008.3,2,11,240,2,11,0,30000,150,6
02/01/2018 02:00,0,0,0,4.3,2.8,0.3,6.3,76,1008.4,2,9,240,2,11,0,30000,130,6
02/01/2018 03:00,0,0,0,3.7,2.5,0.5,6.4,80,1007.8,2,6,200,2,11,0,30000,120,6
02/01/2018 04:00,0,0,0,4.2,2.7,0.2,6.2,75,1006.1,2,5,170,2,11,0,30000,110,6
02/01/2018 05:00,0,0,0,5.3,3.5,0.6,6.4,72,1004.8,2,9,150,2,11,0,30000,70,7
02/01/2018 06:00,0,0.3,0,5,3.9,2.3,7.2,83,1003.4,2,8,150,60,62,0,20000,50,7
02/01/2018 07:00,0,1.9,0,5.6,5,4.3,8.2,91,1000.2,2,9,160,60,62,0,15000,32,7
02/01/2018 08:00,0,0.3,0,6.8,6.1,5.1,8.9,90,999,2,11,150,60,62,0,20000,35,7
02/01/2018 09:00,0,0.6,0,8.6,7.9,7.2,10.1,90,998.2,2,13,210,61,62,0,7000,20,8
02/01/2018 10:00,2,0,0,8.8,7.9,6.8,9.9,88,997.5,2,20,230,21,62,0.2,25000,34,4
02/01/2018 11:00,0,0,0,9.3,8.2,7,10,85,997.4,2,20,240,2,11,0.2,20000,50,6
02/01/2018 12:00,0,0,0,9.7,8.1,6.3,9.5,79,997.6,2,21,250,2,62,0.4,17000,22,6
02/01/2018 13:00,0,0,0,9.8,8.1,6.2,9.4,78,996.7,2,22,240,2,11,0,17000,22,6
02/01/2018 14:00,2,0,0,9.4,7.9,6.1,9.4,80,996.8,2,19,240,60,62,0,17000,45,8
02/01/2018 15:00,0,0.4,0,8.6,7.6,6.5,9.6,86,995,2,17,230,61,62,0,10000,50,8
02/01/2018 16:00,0,1.5,0,7.9,7.3,6.5,9.7,91,992.5,2,13,220,61,66,0,10000,50,8
02/01/2018 17:00,0,0.8,0,8,7.2,6.3,9.5,89,989,2,13,190,21,62,0,15000,45,8
02/01/2018 18:00,0,0.4,0,9.3,8.4,7.4,10.3,88,984.6,2,11,150,60,62,0,20000,20,8
02/01/2018 19:00,0,0.1,0,10.6,9.2,7.8,10.5,82,982.1,2,22,220,81,86,0,30000,40,7
02/01/2018 20:00,0,0.2,0,8.9,6.8,4.1,8.2,72,982.2,2,34,250,25,81,0,35000,999,3
02/01/2018 21:00,2,0,0,8.3,6.2,3.3,7.8,71,982.5,2,33,260,25,86,0,35000,40,7
02/01/2018 22:00,0,0.7,0,6.8,5.3,3.3,7.7,78,982.9,2,33,260,25,82,0,25000,110,7
02/01/2018 23:00,0,1.2,0,5.4,4.6,3.5,7.8,87,983.7,2,27,260,80,82,0,6000,40,7
03/01/2018 00:00,2,0,0,5.2,4.2,2.8,7.4,84,984.4,2,23,250,80,82,0,20000,50,7
03/01/2018 01:00,0,0.1,0,5.1,3.8,1.8,7,79,985.1,2,23,250,25,81,0,20000,35,5
03/01/2018 02:00,0,0,0,5.2,4.2,2.7,7.4,84,985.4,2,25,250,2,11,0,20000,35,5
03/01/2018 03:00,0,0.2,0,5.3,4.4,3,7.6,86,986.5,2,26,250,80,82,0,15000,35,6
03/01/2018 04:00,0,0.4,0,4.9,4,2.8,7.4,86,987.7,2,29,260,80,82,0,20000,35,6
03/01/2018 05:00,2,0,0,5.1,4,2.4,7.2,83,988.8,2,25,260,25,81,0,20000,999,3
03/01/2018 06:00,2,0,0,5.8,5,3.8,8.1,88,989.5,2,21,250,80,81,0,20000,40,6
03/01/2018 07:00,0,0.1,0,6.3,5,3.1,7.7,80,990.2,2,25,250,25,81,0,20000,40,4
03/01/2018 08:00,2,0,0,6.8,5.4,3.4,7.8,79,991.5,2,30,260,25,82,0,30000,45,7
03/01/2018 09:00,0,0.2,0,6.7,5.3,3.4,7.8,79,993,2,24,250,25,81,0.1,25000,999,1
03/01/2018 10:00,2,0,0,6.5,5,2.9,7.5,78,994,2,24,250,25,80,0.5,25000,999,1
03/01/2018 11:00,2,0,0,6.8,5.4,3.4,7.8,79,995.3,2,25,250,25,81,0.3,20000,45,7
03/01/2018 12:00,2,0,0,7,5.8,4.2,8.3,82,995.7,2,23,250,80,81,0,15000,45,7
03/01/2018 13:00,2,0,0,7.9,6.2,3.9,8.1,76,995.7,2,24,250,25,82,0,15000,50,6
03/01/2018 14:00,0,0.2,0,8,6.3,4,8.2,76,995.7,2,23,250,25,82,0,15000,45,5
03/01/2018 15:00,2,0,0,7.7,6.2,4.2,8.3,79,995.6,2,26,250,80,82,0,15000,22,7
03/01/2018 16:00,2,0,0,7.8,6.2,4.2,8.2,78,995.7,2,27,250,25,82,0,15000,45,7
